NAME_2,latitude,longitude
SLOUGH,51.498653247046434,-0.5859563291735392
SOLIHULL,52.410998870247,-1.722538508468168
SOMERSET,51.203383297256345,-2.53654777214718
SOUTH GLOUCESTERSHIRE,51.54262134599896,-2.4522527343387606
SOUTH TYNESIDE,54.9584760527523,-1.4359674263249358
SOUTHAMPTON,50.9190196645311,-1.403107671152428
SOUTHEND-ON-SEA,51.54686872465407,0.6970158163409583
STAFFORDSHIRE,52.710225777172624,-1.9953258491263348
STOCKPORT,53.399737409874284,-2.127686832362661
STOCKTON-ON-TEES,54.558086568081556,-1.3390151057966952
STOKE-ON-TRENT,53.0191073791294,-2.165941259532463
SUFFOLK,52.047248526228145,0.9012010168954199
SUNDERLAND,54.874745435364424,-1.446728554438827
SURREY,51.3510950318902,-0.39802983285614063
SWINDON,51.5683914133395,-1.7338865142408462
TAMESIDE,53.48125987224545,-2.078410085691657
TELFORD AND WREKIN,52.72719520509945,-2.489463627307533
THURROCK,51.502613476601006,0.3696828869435059
TORBAY,50.44281419176878,-3.548113327219083
TRAFFORD,53.4117947202582,-2.3509340835535752
WAKEFIELD,53.65782712860689,-1.4106646551632864
WALSALL,52.59281447912924,-1.9695090039757759
WARRINGTON,53.405395238003365,-2.56760888418587
WARWICKSHIRE,52.55102974975929,-1.629904072673457
WEST BERKSHIRE,51.448833586763094,-1.321861457959618
WEST SUSSEX,50.846768246218645,-0.29591073979307186
WIGAN,53.529991570777874,-2.602059902337456
WILTSHIRE,51.298405529710486,-1.9400750233462136
WINDSOR AND MAIDENHEAD,51.48158927991916,-0.7033568851725918
WIRRAL,53.36531477185545,-3.0719779005822603
WOKINGHAM,51.42498366262956,-0.8972009528079555
WOLVERHAMPTON,52.587511118324905,-2.1253225388014787
WORCESTERSHIRE,52.36057853737347,-2.0150300702144555
YORK,53.960263043744554,-1.0610808220256864
ANTRIM AND NEWTOWNABBEY,54.69726451967004,-6.26013388962063
"ARMAGH, BANBRIDGE AND CRAIGAVON",54.323000562305964,-6.62542332594276
BELFAST,54.60989493101662,-5.954180210312873
CAUSEWAY COAST AND GLENS,55.045932152379955,-6.4251195519600595
DERRY AND STRABANE,54.94632642145685,-7.211341963201248
FERMANAGH AND OMAGH,54.35080606183183,-7.637956268815197
LISBURN AND CASTLEREAGH,54.55191844281303,-5.848268626041604
MID AND EAST ANTRIM,54.88754836332168,-6.244844923704727
MID ULSTER,54.64140298465232,-6.709602354492563
