adm2,latitude,longitude
NEATH_PORT_TALBOT,51.67994481183911,-3.742589392288315
NEWPORT,51.58149289504595,-2.964526413312216
NEWRY_MOURNE_AND_DOWN,54.242103723282405,-6.064931869821515
NORFOLK,52.64883817432565,1.1321650260894804
NORTHAMPTONSHIRE,52.30646068401117,-0.8636646789616254
NORTHUMBERLAND,55.236555072594,-2.064016053426122
NORTH_AYRSHIRE,55.6708617145997,-4.993182389977681
NORTH_DOWN_AND_ARDS,54.54830495852063,-5.622050472310441
NORTH_LANARKSHIRE,55.87226520216429,-3.9438215823290053
NORTH_YORKSHIRE,54.19510187930622,-1.393470685808251
NOTTINGHAMSHIRE,53.12757525417169,-1.0188575755590459
OXFORDSHIRE,51.76139412343566,-1.3149671637106295
PEMBROKESHIRE,51.854519822431385,-4.889044830617669
PERTHSHIRE_AND_KINROSS,56.563120419649245,-3.821110760442865
POWYS,52.329321092837,-3.404223119364678
RENFREWSHIRE,55.84387096270031,-4.548000009700029
RHONDDA_CYNON_TAFF,51.64538462357915,-3.439676444729305
SCOTTISH_BORDERS,55.576019547672615,-2.7851472901922305
SHROPSHIRE,52.64467269217607,-2.7120347530594873
SOMERSET,51.14926842423475,-2.876943107688857
SOUTH_AYRSHIRE,55.269051188580754,-4.6854365033824195
SOUTH_LANARKSHIRE,55.610846883095704,-3.8087598595279126
SOUTH_YORKSHIRE,53.484320123162625,-1.3362413656435785
STAFFORDSHIRE,52.858753513893866,-2.036217363181046
STIRLING,56.236639808065654,-4.358785679503484
SUFFOLK,52.213175436572236,1.0553744086421
SURREY,51.24370841553408,-0.4153768005484561
SUSSEX,50.94642046713952,-0.1338495362462233
SWANSEA,51.640387590497596,-4.048374697014542
TORFAEN,51.699257127649624,-3.0614824232752738
TYNE_AND_WEAR,54.949473242819806,-1.559431222481837
VALE_OF_GLAMORGAN,51.44419077162104,-3.4002620896801026
WARWICKSHIRE,52.30784208734815,-1.5576435211844781
WEST_DUNBARTONSHIRE,55.98488323498246,-4.51659436583307
WEST_LOTHIAN,55.88198988562811,-3.567275718025097
WEST_MIDLANDS,52.48831099246183,-1.8762052072618425
WEST_YORKSHIRE,53.742371012883815,-1.6817091433519864
WILTSHIRE,51.31612593173033,-1.9265545603792813
WORCESTERSHIRE,52.218425532593116,-2.159476550763024
