location,latitude,longitude
AL_MAHRAH_GOVERNORATE,16.736691185055783,51.59331529812512
AL_MAHWIT_GOVERNORATE,15.367585773449719,43.550203890549376
AL_QADISIYAH,31.946314086872828,45.131039499513975
AL_QASSIM,26.10890292839484,43.243642052875444
AL_RAYYAN,25.060561952344024,51.13677591650355
AL_SHAMAL,25.98512638955027,51.223647299272436
AL_SHARQIA,30.626294245200494,31.78296592426242
AL_SHEEHANIYA,25.438112120994848,51.053678747685865
AL_WAHAT,28.84918720112276,21.342167869065616
AL_WAKRA,24.90459494838597,51.295236162590996
AL_WUSTA,19.99172017429875,56.526292058411556
ALABAMA,32.79150614732487,-86.807350057863
ALAGOAS,-9.514725850396704,-36.658629745252426
ALAND_ISLANDS,60.21387180784904,19.90836176334855
ALAOTRA_MANGORO,-17.949002990660066,48.34621910786875
ALASKA,64.37931705145415,-152.6416451312162
ALBA,46.12419060691395,23.496034168132564
ALBERTA,55.16812656777766,-114.50575279242258
ALBORZ,35.92900026258454,50.87639051117847
ALEPPO,36.247369290892145,37.653907160469196
ALEXANDRIA,30.821296478010293,29.821123531778465
ALGIERS,36.70231933520803,3.07251427641623
ALI_SABIEH,11.19081633768157,42.888932138305435
ALIBORI,11.308329624200125,2.9043517472021327
ALIF_ALIF,4.437486091644799,72.95500197314256
ALMATY,43.24884370774409,76.93860559298125
ALMATY_REGION,44.97717185883196,77.9264870493168
ALTA_VERAPAZ,15.609612812894332,-90.08990632732352
ALTAI_KRAI,52.61625037309478,82.58106594976348
ALTAI_REPUBLIC,50.76751740239056,87.07576551165937
ALTO_PARAGUAY,-20.581727225653538,-59.40101953848876
ALTO_PARANA,-25.34835176541982,-54.92404374309997
ALYTUS,54.247910953321174,24.034103857977943
AMAMBAY,-22.934838826872763,-56.10744486475423
AMAPA,1.4324848153963738,-51.99275276439041
AMAZONAS,-4.0113349874549025,-65.40909554738275
AMAZONAS_STATE,3.3444040895805114,-65.94563152716701
AMERICAN_SAMOA,-14.319855064078983,-170.78507210293796
AMHARA,11.549055443029873,38.090904147921606
AMMAN,31.60803960333879,36.34751286424805
AMNAT_CHAROEN_PROVINCE,15.871781939283206,104.82117840908796
AMORON'I_MANIA,-20.508592460555736,46.70990572367433
AMUR,53.408076943831844,127.8101036364535
AN_GIANG,10.546676514378722,105.14125832284381
ANABAR,-0.5081635166968593,166.95001286580546
ANALAMANGA,-18.42059689443769,47.45804190115587
ANALANJIROFO,-16.295651266067093,49.391498461359525
ANAMBRA,6.1970724305203975,6.922637875997693
ANCASH,-9.427349988129086,-77.64873069603614
ANDALUCIA,37.438196088113365,-4.548265795197067
ANDAMAN_AND_NICOBAR_ISLANDS,11.807854516518459,92.66693973548684
ANDHRA_PRADESH,15.728151925121374,79.96777363148266
ANDIJAN_REGION,40.76303967355674,72.31106175448392
ANDORRA_LA_VELLA,42.499311694218974,1.509134811218998
ANDROY,-24.805024323223332,45.4338653983847
ANEGADA,18.725231170654354,-64.33504740397132
ANETAN,-0.5044879007760884,166.94376166736953
ANG_THONG_PROVINCE,14.660053644081383,100.3394693649012
ANGAUR,6.908335080882346,134.13601438191253
ANHUI,31.81295497415206,117.22281490946786
ANJOUAN,-12.204050471047246,44.40306397722879
ANNABA,36.82823578772058,7.512997554986891
ANNOBON,-1.433182714837234,5.632393072163914
ANOSY,-24.006600012020638,46.27524932642829
ANSE_AUX_P,-4.688764306621765,55.51737438332581
ANSE_BOILE,-4.709537241679291,55.49166618549723
ANSE_ETOIL,-4.594692685351788,55.453410422570116
ANSE_LA_RAYE,13.930786462621118,-61.01759998291411
ANSE_ROYAL,-4.740742947472201,55.513260918138236
ANSEBA_REGION,16.46934076962549,37.73665699415612
ANTIOQUIA,6.975292243474278,-75.60076512036002
ANTOFAGASTA,-23.55331109625812,-69.12511601417197
ANZOATEGUI,8.999455589042423,-64.46663205366062
AOMORI,40.67349092624665,140.78654628747947
APPENZELL_AUSSERRHODEN,47.37300306934025,9.391795680718204
APPENZELL_INNERRHODEN,47.32799395516553,9.40773418620392
APURE,7.131568426625038,-68.87772656717996
APURIMAC,-14.092257920459787,-72.99310105190432
AQABA,29.790705371306565,35.29259322465793
AR_RAQQAH,35.99818434839086,38.935969513677605
ARAD,46.29448721324254,21.759627144314493
ARAGATSOTN,40.444346755867144,44.08489626711297
ARAGON,41.48196729980111,-0.6888925476046315
ARAGUA,10.036436054326586,-67.1539976335494
ARARAT,40.01061374302325,44.7863665102563
ARAUCA,6.565716945503414,-70.99754719700809
ARCHIPIELAGO_DE_SAN_ANDRES,_Providencia_Y_Santa_Catalina,12.538957934025479
ARDABIL,38.47103855489789,48.053763819297565
AREQUIPA,-15.826263887978502,-72.46907970365868
ARGES,45.00912256679993,24.88952355637323
ARIANA,36.955682799015435,10.14350119544817
ARICA_Y_PARINACOTA,-18.502081391599635,-69.62783960342436
ARIZONA,34.29115158582636,-111.67250118196061
ARKANSAS,34.900468679950215,-92.45923017236628
